train_loss,train_acc,val_loss,val_acc
1.5012475002,0.445600003,1.3667825083,0.5159000158
1.0891513663,0.6094400287,1.1245858013,0.6092000008
0.9168427082,0.6710399985,1.3067582001,0.5706999898
0.8042365011,0.7163400054,0.8963606863,0.6980000138
0.7154319625,0.7479799986,0.8165092019,0.7189999819
0.6481818716,0.7740799785,0.7824121189,0.7426000237
0.5926911889,0.7934399843,0.698814483,0.7620000243
0.5501034193,0.8088600039,0.6344550576,0.7828999758
0.5135642667,0.8208199739,0.5930360529,0.8001000285
0.4830998348,0.8343999982,0.8549514028,0.7203999758
0.8658581474,0.7053400278,1.9158916594,0.5119000077
0.7023839091,0.7609999776,0.9511005411,0.6962000132
0.6215902223,0.7916399837,0.8365686766,0.7452999949
0.55959632,0.8121399879,1.2644960661,0.6848999858
0.5120954902,0.828880012,0.8791400722,0.7674999833
0.4750876575,0.8408799767,0.5676311183,0.8192999959
0.4422901684,0.8507199883,0.6890287267,0.8019000292
0.416647184,0.8612999916,0.904166995,0.7516000271
0.3869792291,0.8697400093,0.577015209,0.8338000178
0.3660598592,0.8773800135,0.5380853426,0.8457999825
0.3454315524,0.8823000193,0.6200016828,0.834100008
0.3309767926,0.8888400197,0.5505784773,0.8467000127
0.3123632322,0.8946200013,0.5115971024,0.8600999713
0.2910617784,0.9019799829,0.4340967883,0.8712000251
0.279893457,0.9053599834,0.4760693968,0.8629999757
0.2680623296,0.9100999832,0.4964766859,0.8608999848
0.2532226959,0.9132400155,0.4452594109,0.8687999845
0.2371819587,0.919960022,0.4675863034,0.869599998
0.23046652,0.9207599759,0.4505718113,0.8697999716
0.2222835017,0.9251800179,0.51517569,0.8654999733
0.2106851144,0.9272400141,0.3881922357,0.8852000237
0.1995295684,0.9311400056,0.4239892173,0.8776000142
0.1932198359,0.9338399768,0.4056065398,0.8917000294
0.1840371861,0.9364200234,0.468707242,0.8774999976
0.1798496007,0.9391400218,0.4726039422,0.8644000292
0.16672643,0.9436600208,0.4675020398,0.882799983
0.1611183663,0.9449999928,0.4493948085,0.8877000213
0.1562561071,0.9466199875,0.4495030691,0.8795999885
0.1499097227,0.94848001,0.4623842171,0.8816999793
0.1507775316,0.9486200213,0.5517950873,0.8661000133
0.1357407256,0.9542800188,0.3940251432,0.8955000043
0.1383144884,0.9534400105,0.4323859597,0.8874999881
0.1289674235,0.955039978,0.4079141934,0.8927999735
0.125241859,0.9572200179,0.3801727525,0.9041000009
0.1268300536,0.9571200013,0.3770774699,0.9007999897
0.1181667755,0.9592400193,0.4203417976,0.8981999755
0.1164765121,0.9602000117,0.5173187373,0.8838000298
0.1141466715,0.9611600041,0.4637693316,0.8883000016
0.1132810709,0.9611999989,0.3933021442,0.9021000266
0.1086157033,0.9630600214,0.4246160237,0.9024999738
0.1052930045,0.9636800289,0.5027736935,0.8909000158
0.102405234,0.9647399783,0.4531725694,0.8953999877
0.0984691108,0.9660000205,0.4134207387,0.9047999978
0.0968889899,0.9677000046,0.4779216511,0.8939999938
0.0954147193,0.9666600227,0.4422029764,0.902700007
0.0895528809,0.9694600105,0.4453677135,0.9057000279
0.0910268028,0.9690399766,0.4197784225,0.9064999819
0.0868316969,0.9708600044,0.4708960149,0.9031999707
0.0864498905,0.9717000127,0.4745927898,0.9006000161
0.0887138814,0.9690600038,0.4421514948,0.90200001
0.0831020555,0.9720000029,0.4291315491,0.9083999991
0.0800392366,0.9728000164,0.4812784367,0.9035000205
0.080807581,0.9729800224,0.4603520852,0.9028999805
0.0757522633,0.9745000005,0.440286129,0.9086999893
0.0725099842,0.9762600064,0.5185830887,0.8992000222
0.0743493554,0.9744799733,0.4412215576,0.9085000157
0.0719967381,0.9759799838,0.491088042,0.9067999721
0.0743021346,0.9748799801,0.4948318131,0.898999989
0.0768006325,0.9746199846,0.4235743812,0.9086999893
0.0687786515,0.9759399891,0.4361809677,0.9121999741
0.0640940619,0.9790400267,0.561177812,0.8962000012
0.0674696712,0.9773600101,0.4714718557,0.9014000297
0.065646475,0.9780600071,0.5080131532,0.902700007
0.0657714392,0.9778400064,0.4772844407,0.9118000269
0.0639776945,0.9775400162,0.5955342454,0.8884000182
0.0653367545,0.978579998,0.4667067541,0.909799993
0.0617369446,0.9796199799,0.5368146636,0.9032999873
0.0620774543,0.9794200063,0.5482230562,0.8938999772
0.0597928214,0.9797800183,0.4541473968,0.9110999703
0.0556317765,0.9814599752,0.5267425615,0.9100000262
0.0592390371,0.979820013,0.5053954272,0.9065999985
0.059467351,0.9797000289,0.5962518229,0.9017999768
0.0559542249,0.9814599752,0.5055269042,0.9064999819
0.0557853879,0.9811400175,0.5822444628,0.9053999782
0.0591705171,0.9802200198,0.5188881363,0.9095000029
0.0545225569,0.9812800288,0.5145141908,0.9107000232
0.0524115958,0.9827799797,0.4837513872,0.9110999703
0.0558338562,0.9811800122,0.4373406926,0.9156000018
0.0536519543,0.9824799895,0.5350695149,0.9079999924
0.0548375511,0.9820799828,0.493437048,0.9103000164
0.0474758312,0.9842799902,0.4797623198,0.9172999859
0.0532348037,0.9831200242,0.5205300639,0.9099000096
0.0515083145,0.983099997,0.5482517187,0.9083999991
0.0526395962,0.9825400114,0.4676081987,0.9103999734
0.0524385881,0.9826800227,0.4772279091,0.9140999913
0.0488961198,0.9841799736,0.6070947583,0.9014999866
0.049005277,0.9837599993,0.4386710834,0.9160000086
0.0490317574,0.9843000174,0.4747874299,0.9150000215
0.0418737772,0.9867799878,0.5224563994,0.9144999981
0.0425000943,0.9855200052,0.5422263423,0.9100999832
0.0189414506,0.9935600162,0.442551108,0.9276999831
0.0099759204,0.9967600107,0.4391733764,0.9305999875
0.0083416617,0.997420013,0.4353100958,0.9308999777
0.0061207895,0.9979400039,0.43777971,0.9304999709
0.0059248532,0.9981200099,0.4498773138,0.9315000176
0.0046550629,0.9985200167,0.4473792363,0.9326000214
0.004059998,0.9987400174,0.4566261987,0.9330000281
0.0036370242,0.9988399744,0.4614545552,0.9322999716
0.0040296728,0.9987000227,0.4623156078,0.9316999912
0.0037893248,0.9988399744,0.4737346077,0.9326000214
0.0029568608,0.9991000295,0.4749258616,0.9322999716
0.0030291934,0.9990199804,0.4760353682,0.9333999753
0.0033993727,0.9991000295,0.4743311484,0.9326999784
0.0030043744,0.9988600016,0.4773896789,0.9322000146
0.0023012545,0.9992200136,0.4844348284,0.9327999949
0.0024273398,0.9993600249,0.4810657305,0.9330000281
